Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/matt_proteomics/250711_MM_11262_8_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_2_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_7_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_6_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_4_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_5_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_3_uncalibrated.mzML	/matt_proteomics/250711_MM_11262_1_uncalibrated.mzML
Q9C0H2	Q9C0H2		TTYH3		1.11105e+07	2.68714e+06	6.71895e+06	5.7235e+06	5.81658e+06	1.75088e+07	5.46728e+06	9.48693e+06
Q9C0H5	Q9C0H5		ARHGAP39		1.40798e+06	990018	872022	754403	1.79084e+06	1.16753e+06	1.0039e+06	1.28687e+06
Q9C0H6	Q9C0H6		KLHL4		3.58458e+06	3.17803e+06	2.38615e+06	2.83766e+06	4.09275e+06	3.11456e+06	2.77261e+06	2.97857e+06
Q9C0H9	Q9C0H9		SRCIN1		6.30294e+06	4.41502e+06	6.93259e+06	4.51173e+06	4.76289e+06	3.55222e+06	5.40604e+06	3.03436e+06
Q9C0I1	Q9C0I1		MTMR12		2.74894e+06	3.40079e+06	3.3511e+06	3.84842e+06	2.84129e+06	2.88292e+06	3.47472e+06	3.20576e+06
Q9C0J8	Q9C0J8		WDR33		5.75657e+06	1.34511e+07	7.09985e+06	1.52112e+07	5.48852e+06	7.80752e+06	6.32154e+06	6.88198e+06
Q9C0K1	Q9C0K1		SLC39A8		3.83929e+06	4.56185e+06	3.14286e+06	2.37522e+06	4.60971e+06	6.08281e+06	4.32326e+06	6.75056e+06
Q9C0K7	Q9C0K7		STRADB		2.0965e+07	1.12202e+07	1.47616e+07	5.65576e+06	2.75409e+07	8.34975e+06	1.71883e+07	8.18692e+06
Q9GZL7	Q9GZL7		WDR12		2.54236e+06	3.57079e+06	3.02497e+06	3.70413e+06	2.62759e+06	2.68065e+06	3.07838e+06	2.44931e+06
Q9GZM5	Q9GZM5		YIPF3		1.33781e+07	1.75921e+07	1.6722e+07	1.94983e+07	1.75617e+07	2.3819e+07	1.72086e+07	2.48244e+07
Q9GZM7	Q9GZM7		TINAGL1		1.35657e+07	2.60548e+06	7.26646e+06	7.83573e+06	7.42951e+06	7.33465e+06	4.31887e+06	4.1508e+06
Q9GZM8	Q9GZM8		NDEL1		1.11912e+06	1.04299e+06	859702	802068	1.19735e+06	664498	1.01255e+06	709583
Q9GZN8	Q9GZN8		ADISSP		7.47244e+06	9.86183e+06	1.00423e+07	9.64887e+06	8.39592e+06	7.23953e+06	1.19928e+07	8.62779e+06
Q9GZP4	Q9GZP4		PITHD1		8.50022e+06	1.80218e+07	8.87709e+06	9.23434e+06	1.13212e+07	1.09593e+07	1.30781e+07	1.46863e+07
Q9GZP9	Q9GZP9		DERL2		1.52927e+07	2.58124e+07	1.87266e+07	2.41595e+07	1.7282e+07	3.92425e+07	2.25308e+07	3.89582e+07
Q9GZQ3	Q9GZQ3		COMMD5		1.04184e+06	1.4405e+06	1.04918e+06	1.27094e+06	1.04285e+06	1.16616e+06	1.17377e+06	1.37975e+06
Q9GZR2	Q9GZR2		REXO4			1.02987e+06	600323	737591	578312	504411	895389	
Q9GZR7	Q9GZR7		DDX24		2.80211e+06	8.15858e+06	5.34064e+06	1.02316e+07	4.60325e+06	5.31843e+06	6.50163e+06	4.80044e+06
Q9GZS1	Q9GZS1		POLR1E		444993	1.78876e+06	1.18902e+06	2.10197e+06	545665	868014	1.1029e+06	881766
Q9GZS3	Q9GZS3		SKIC8		6.21987e+06	7.72481e+06	6.06164e+06	6.37095e+06	5.89349e+06	4.35366e+06	6.6985e+06	4.76161e+06
Q9GZT3	Q9GZT3		SLIRP		2.01496e+08	1.03651e+08	1.92874e+08	8.16342e+07	2.30282e+08	1.66081e+08	2.15149e+08	1.94988e+08
Q9GZT4	Q9GZT4		SRR		513813	682926	581574	510946			631537	
Q9GZT6	Q9GZT6		CCDC90B		1.05331e+07	1.31108e+07	9.1572e+06	1.06675e+07	1.44301e+07	1.12655e+07	1.14808e+07	1.47049e+07
Q9GZT8	Q9GZT8		NIF3L1		1.01206e+07	9.18929e+06	8.44662e+06	4.57372e+06	1.62424e+07	5.6336e+06	1.29423e+07	7.62875e+06
Q9GZT9	Q9GZT9		EGLN1		2.87197e+06	3.01666e+06	2.61537e+06	2.9507e+06	2.3445e+06	2.69239e+06	2.63799e+06	2.87636e+06
Q9GZU1	Q9GZU1		MCOLN1		426247	677707	333003	466913	681471	916045	544545	1.40338e+06
Q9GZU3	Q9GZU3		TMEM39B		1.19945e+06	1.39426e+06	1.17386e+06	1.30555e+06	1.13287e+06	2.481e+06	1.31441e+06	2.62151e+06
Q9GZU7	Q9GZU7		CTDSP1		6.70046e+06	4.82261e+06	6.06544e+06	5.33787e+06	6.95017e+06	8.27803e+06	5.73615e+06	8.76804e+06
Q9GZU8	Q9GZU8		PSME3IP1		530097	1.32846e+06	494957	637953	446203	810561	831857	1.15178e+06
Q9GZV5	Q9GZV5		WWTR1		1.85424e+06	1.93042e+06	2.11621e+06	1.75503e+06	1.44204e+06	1.8465e+06	2.11188e+06	1.77826e+06
Q9GZX3	Q9GZX3		CHST6		3.58185e+06	1.93616e+06	3.4099e+06	2.43444e+06	3.64125e+06	5.41898e+06	2.75651e+06	2.94304e+06
Q9GZX9	Q9GZX9		TWSG1		7.83183e+06	3.0351e+06	6.27722e+06	3.60286e+06	9.81703e+06	9.50924e+06	6.86402e+06	9.14384e+06
Q9GZY4	Q9GZY4		COA1		3.06845e+07	4.15446e+07	2.97701e+07	2.90387e+07	3.75059e+07	4.38056e+07	3.71115e+07	4.4553e+07
Q9GZY6	Q9GZY6		LAT2		9.13955e+06	4.17865e+06	9.45652e+06	8.36025e+06	3.99097e+06	5.99972e+06	4.94745e+06	3.20986e+06
Q9GZY8	Q9GZY8		MFF		1.23954e+07	2.05599e+07	1.49998e+07	1.80613e+07	1.81989e+07	1.81584e+07	1.83371e+07	2.18877e+07
Q9GZZ1	Q9GZZ1		NAA50		1.0081e+07	1.50956e+07	1.26985e+07	1.29597e+07	1.14417e+07	1.29227e+07	1.46823e+07	1.49448e+07
Q9GZZ9	Q9GZZ9		UBA5		1.83353e+07	2.83547e+07	3.44516e+07	4.44223e+07	1.89811e+07	2.81015e+07	2.73199e+07	2.07913e+07
Q9H000	Q9H000		MKRN2		2.76666e+06	2.08332e+06	2.70392e+06	2.31344e+06	3.00232e+06	2.50475e+06	3.03105e+06	3.01746e+06
Q9H008	Q9H008		LHPP		1.77624e+06			2.06057e+06			2.05484e+06	2.53449e+06
Q9H013	Q9H013		ADAM19		4.01613e+06	2.55567e+06	3.34646e+06	3.95365e+06	5.83529e+06	4.89122e+06	5.3945e+06	5.58879e+06
Q9H019	Q9H019		MTFR1L		9.67008e+06	2.4897e+07	1.15558e+07	1.22437e+07	2.19684e+07	1.30993e+07	2.19702e+07	2.27711e+07
Q9H061	Q9H061		TMEM126A		3.74676e+07	5.14802e+07	3.97155e+07	4.09786e+07	4.48833e+07	5.83792e+07	5.14621e+07	6.8182e+07
Q9H063	Q9H063		MAF1		2.37478e+06	3.32244e+06	1.95941e+06	2.5142e+06	1.69982e+06	2.37488e+06	2.44741e+06	2.67073e+06
Q9H074	Q9H074		PAIP1		6.48718e+06	9.88639e+06	9.60682e+06	1.10629e+07	6.89352e+06	7.37968e+06	9.53469e+06	7.59568e+06
Q9H078	Q9H078		CLPB		3.12102e+07	3.69131e+07	3.00134e+07	2.96779e+07	3.7683e+07	4.74463e+07	3.4354e+07	5.18183e+07
Q9H079	Q9H079		KATNBL1		570982	919868	1.10387e+06	1.40725e+06	422596	730763	690275	436323
Q9H081	Q9H081		MIS12			5.68729e+06	5.12837e+06	5.7648e+06	5.22194e+06		4.43574e+06	6.30426e+06
Q9H082	Q9H082		RAB33B		6.9865e+06	6.61749e+06	7.87686e+06	6.94251e+06	8.51693e+06	9.70473e+06	8.55706e+06	1.02537e+07
Q9H089	Q9H089		LSG1		2.42385e+07	1.99651e+07	2.54695e+07	2.00141e+07	3.29217e+07	2.61708e+07	2.76689e+07	2.75196e+07
Q9H098	Q9H098		FAM107B		1.17647e+06	846379	1.15921e+06	1.00687e+06	888668	526183	979286	526815
Q9H0A0	Q9H0A0		NAT10		2.40446e+06	6.72999e+06	5.23681e+06	8.02671e+06	3.7481e+06	4.3301e+06	6.43769e+06	4.26573e+06
Q9H0A8	Q9H0A8		COMMD4		5.27531e+06	9.02158e+06	7.96177e+06	1.00153e+07	8.07833e+06	1.06889e+07	8.45027e+06	1.10183e+07
Q9H0B6	Q9H0B6		KLC2		4.76944e+06	4.89744e+06	4.92482e+06	5.37138e+06	4.52412e+06	4.45255e+06	4.48412e+06	4.33902e+06
Q9H0C8	Q9H0C8		ILKAP		6.82984e+06	1.17859e+07	8.25139e+06	1.0939e+07	7.07815e+06	9.25526e+06	9.63201e+06	1.0484e+07
Q9H0D6	Q9H0D6		XRN2		1.38836e+07	3.53885e+07	2.50256e+07	3.47051e+07	1.8517e+07	2.0044e+07	2.90601e+07	2.16057e+07
Q9H0E2	Q9H0E2		TOLLIP		2.35449e+07	2.64881e+07	2.09248e+07	1.82119e+07	2.22118e+07	1.69799e+07	2.06219e+07	1.75085e+07
Q9H0E3	Q9H0E3		SAP130		762506	1.02526e+06	1.68122e+06	1.50378e+06		1.81341e+06	1.13359e+06	2.42876e+06
Q9H0F7	Q9H0F7		ARL6		7.41321e+06	5.58429e+06	6.05619e+06	6.5537e+06	7.48224e+06	7.70578e+06	6.16378e+06	7.14596e+06
Q9H0H0	Q9H0H0		INTS2		2.61811e+06	1.14888e+07	5.31391e+06	1.3885e+07	5.2642e+06	5.10359e+06	7.30877e+06	3.71508e+06
Q9H0H5	Q9H0H5		RACGAP1		1.87441e+07	1.98118e+07	2.32406e+07	2.68043e+07	1.54697e+07	4.30283e+07	3.23812e+07	4.49163e+07
Q9H0J9	Q9H0J9		PARP12		2.8451e+06	1.67553e+06	2.18468e+06	1.79837e+06	2.67613e+06	1.99527e+06	2.00011e+06	2.10123e+06
Q9H0L4	Q9H0L4		CSTF2T		1.33386e+06	2.52989e+06	1.63537e+06	2.56635e+06	1.40802e+06	3.13148e+06	1.5706e+06	3.45083e+06
Q9H0N5	Q9H0N5		PCBD2		1.0687e+07	8.55496e+06	9.73878e+06	6.70446e+06	1.0631e+07	1.01204e+07	1.18253e+07	1.12909e+07
Q9H0P0	Q9H0P0		NT5C3A		3.18681e+07	3.75032e+07	3.11769e+07	2.78122e+07	6.17347e+07	6.10983e+07	3.85219e+07	6.40748e+07
Q9H0Q0	Q9H0Q0		CYRIA		2.05667e+06	2.56703e+06	3.39351e+06	5.98141e+06	1.81778e+06	2.43692e+06	2.76879e+06	1.70396e+06
Q9H0Q3	Q9H0Q3		FXYD6		1.6181e+06		2.06801e+06	1.59237e+06		2.99517e+06	1.77369e+06	2.7292e+06
Q9H0R3	Q9H0R3		TMEM222		4.09654e+06	5.49956e+06	4.16351e+06	4.61304e+06	6.19786e+06	6.15992e+06	5.21382e+06	7.37631e+06
Q9H0R4	Q9H0R4		HDHD2		6.245e+06	5.1634e+06	5.12405e+06	4.12914e+06	6.98603e+06	4.52226e+06	5.93659e+06	5.28301e+06
Q9H0R6	Q9H0R6		QRSL1		1.63122e+07	6.49881e+06	1.37544e+07	4.37321e+06	1.93805e+07	8.92688e+06	1.59802e+07	9.98697e+06
Q9H0S4	Q9H0S4		DDX47		1.09484e+07	1.77129e+07	1.97659e+07	3.17999e+07	1.30552e+07	1.96828e+07	1.88932e+07	1.39483e+07
Q9H0U3	Q9H0U3		MAGT1		5.96643e+07	7.1295e+07	6.81481e+07	7.88296e+07	7.60879e+07	9.78525e+07	7.72436e+07	9.65838e+07
Q9H0U4	Q9H0U4		RAB1B		3.27677e+07	5.05146e+07	4.2884e+07	5.49629e+07	4.27379e+07	5.89661e+07	5.3883e+07	6.84445e+07
Q9H0U6	Q9H0U6		MRPL18		6.4319e+07	5.07336e+07	5.52143e+07	3.15249e+07	8.10295e+07	5.67479e+07	6.88615e+07	7.18777e+07
Q9H0V1	Q9H0V1		TMEM168		5.05605e+06	6.92035e+06	6.4719e+06	6.28322e+06	7.17776e+06	5.8672e+06	6.51874e+06	5.6459e+06
Q9H0V9	Q9H0V9		LMAN2L		2.11777e+07	2.28207e+07	2.52831e+07	2.85763e+07	2.17991e+07	3.83563e+07	2.25927e+07	3.12423e+07
Q9H0W5	Q9H0W5		CCDC8		1.14796e+06	769309	884893	738520	1.36128e+06	1.92487e+06	1.21081e+06	2.09611e+06
Q9H0W8	Q9H0W8		SMG9		5.05946e+06	8.31437e+06	6.19239e+06	6.70761e+06	7.84132e+06	6.42925e+06	8.10875e+06	1.22923e+07
Q9H0W9	Q9H0W9		C11orf54		5.22254e+06	8.066e+06	5.14356e+06	4.6582e+06	6.62447e+06	4.91803e+06	6.74597e+06	5.67915e+06
Q9H0X4	Q9H0X4		FAM234A		3.32627e+07	3.17798e+07	3.18313e+07	2.74513e+07	3.79293e+07	3.20757e+07	3.84326e+07	3.2853e+07
Q9H0X9	Q9H0X9		OSBPL5		6.72587e+06	6.97449e+06	6.52747e+06	6.04396e+06	7.05941e+06	6.90945e+06	7.51059e+06	7.84256e+06
Q9H115	Q9H115		NAPB		1.0724e+06	1.19737e+06	919187	1.00689e+06	1.36127e+06	1.46693e+06	1.39772e+06	1.77565e+06
Q9H147	Q9H147		DNTTIP1		1.31568e+06	2.07429e+06	1.67186e+06	3.34201e+06	1.78506e+06	1.52998e+06	2.17594e+06	1.00989e+06
Q9H173	Q9H173		SIL1		1.06829e+07	5.84227e+06	1.05661e+07	6.98202e+06	1.51706e+07	9.29796e+06	1.23459e+07	7.25487e+06
Q9H190	Q9H190		SDCBP2			3.2438e+06		765031	1.00509e+06			
Q9H1A3	Q9H1A3		METTL9		7.62793e+06	1.32683e+07	7.42494e+06	9.23254e+06	1.23772e+07	1.48166e+07	1.01972e+07	1.67599e+07
Q9H1A4	Q9H1A4		ANAPC1		1.85273e+06	5.35282e+06	3.07515e+06	5.1402e+06	2.1079e+06	2.75261e+06	3.33885e+06	2.36088e+06
Q9H1B5	Q9H1B5		XYLT2		8.01141e+06	7.49652e+06	7.25727e+06	6.97437e+06	1.51453e+07	1.2793e+07	9.34994e+06	1.07556e+07
Q9H1B7	Q9H1B7		IRF2BPL		8.57854e+06	1.93739e+07	1.07856e+07	2.30988e+07	1.4303e+07	1.024e+07	1.1033e+07	1.19401e+07
Q9H1C4	Q9H1C4		UNC93B1		5.85727e+06	9.74061e+06	7.25907e+06	8.93976e+06	6.97312e+06	1.01082e+07	8.63198e+06	1.20517e+07
Q9H1C7	Q9H1C7		CYSTM1		1.09756e+07	6.22631e+06	1.06035e+07	1.09562e+07	9.29628e+06	1.45642e+07	1.13635e+07	1.24891e+07
Q9H1E1	Q9H1E1		RNASE7			333086						
Q9H1E3	Q9H1E3		NUCKS1		4.36065e+06	9.71248e+06	5.54099e+06	8.46214e+06	4.94721e+06	6.8506e+06	8.33514e+06	7.63075e+06
Q9H1E5	Q9H1E5		TMX4		1.50069e+07	1.48756e+07	1.32338e+07	1.487e+07	1.3018e+07	2.47069e+07	1.16293e+07	1.89621e+07
Q9H1H9	Q9H1H9		KIF13A		1.65729e+06	2.72975e+06	2.50757e+06	3.0991e+06	1.91967e+06	2.06683e+06	2.37978e+06	1.7888e+06
Q9H1I8	Q9H1I8		ASCC2		3.88609e+06	5.07418e+06	4.81223e+06	5.42571e+06	3.83722e+06	2.74246e+06	4.40199e+06	2.90792e+06
Q9H1J7	Q9H1J7		WNT5B				1.00665e+06	709194		1.05743e+06	949970	1.09787e+06
Q9H1K0	Q9H1K0		RBSN		1.61579e+06	1.65841e+06	1.76955e+06	1.64362e+06	1.59246e+06	1.9765e+06	1.54906e+06	1.54414e+06
Q9H1K1	Q9H1K1		ISCU		1.58154e+07	8.70176e+06	1.25837e+07	4.06768e+06	2.33866e+07	6.83438e+06	1.86959e+07	8.67154e+06
Q9H1K6	Q9H1K6		TLNRD1		1.20685e+06	896921	1.01618e+06	963143	1.07964e+06	1.13241e+06	821222	1.27384e+06
Q9H1N7	Q9H1N7		SLC35B3		1.65562e+06	1.30822e+06	1.73592e+06	1.61416e+06	2.00553e+06	1.96087e+06	1.58651e+06	1.69857e+06
Q9H1P3	Q9H1P3		OSBPL2		9.3293e+06	1.50219e+07	1.12657e+07	1.24714e+07	8.95135e+06	1.51767e+07	1.24608e+07	1.48552e+07
Q9H1U9	Q9H1U9		SLC25A51		9.54108e+06	1.1206e+07	8.98794e+06	9.29026e+06	1.2148e+07	1.15451e+07	1.08529e+07	1.33886e+07
Q9H1X3	Q9H1X3		DNAJC25		1.54272e+06	1.83865e+06	1.80808e+06	1.85538e+06	1.9126e+06	2.91932e+06	2.18957e+06	2.59456e+06
Q9H1Y0	Q9H1Y0		ATG5		2.36572e+06	3.84262e+06	4.15299e+06	5.05029e+06	1.89303e+06	2.81726e+06	3.11779e+06	2.438e+06
Q9H1Z4	Q9H1Z4		WDR13		624004	947075	639970	714629	365640		427399	340942
Q9H223	Q9H223		EHD4		3.38186e+07	3.89905e+07	3.66794e+07	4.18473e+07	2.48012e+07	4.29475e+07	3.0785e+07	3.76759e+07
Q9H228	Q9H228		S1PR5		386983	268635	327534	306627	264736	681541	350788	580254
Q9H237	Q9H237		PORCN		3.59809e+06	3.20309e+06	3.23513e+06	3.60891e+06	3.46346e+06	3.7146e+06	3.15281e+06	3.15365e+06
Q9H246	Q9H246		C1orf21		1.08027e+06	1.06069e+06	1.20372e+06	954163	966415	898325	1.18129e+06	995096
Q9H267	Q9H267		VPS33B		3.88891e+06	4.5763e+06	4.56344e+06	4.80306e+06	3.35857e+06	4.17121e+06	3.83761e+06	3.88794e+06
Q9H269	Q9H269		VPS16		1.32906e+07	1.14239e+07	1.14265e+07	1.02303e+07	1.31363e+07	1.28515e+07	1.17704e+07	1.23302e+07
Q9H270	Q9H270		VPS11		1.36874e+07	1.04503e+07	1.03675e+07	8.65804e+06	1.58803e+07	8.70011e+06	1.08148e+07	9.18235e+06
Q9H299	Q9H299		SH3BGRL3		8.31371e+07	6.98795e+07	6.00609e+07	4.58045e+07	5.33724e+07	4.41788e+07	7.11774e+07	4.77239e+07
Q9H2C0	Q9H2C0		GAN		7.44532e+06	9.03526e+06	1.06926e+07	1.19603e+07	6.10601e+06	8.60343e+06	7.73561e+06	6.46471e+06
Q9H2C2	Q9H2C2		ARV1		2.20237e+06	1.8881e+06	2.42161e+06	2.74732e+06	2.14318e+06	6.26927e+06	2.33672e+06	4.83251e+06
Q9H2D1	Q9H2D1		SLC25A32		2.84783e+07	2.79695e+07	2.75201e+07	2.62334e+07	2.92437e+07	4.7856e+07	2.66631e+07	4.45571e+07
Q9H2D6	Q9H2D6		TRIOBP		8.37044e+06	5.74779e+06	5.50891e+06	3.46422e+06	6.91732e+06	2.88102e+06	5.12072e+06	3.25798e+06
Q9H2F5	Q9H2F5		EPC1			44818.4	31183.9	129543	29573.8		27992.9	
Q9H2G2	Q9H2G2		SLK		1.85582e+07	1.8655e+07	1.98978e+07	2.20168e+07	1.81498e+07	1.49087e+07	1.92538e+07	1.51272e+07
Q9H2H8	Q9H2H8		PPIL3		2.34603e+06	3.95696e+06	2.312e+06	2.5067e+06	2.15171e+06	2.16498e+06	3.0369e+06	3.34512e+06
Q9H2H9	Q9H2H9		SLC38A1		6.21836e+06	1.56085e+07	1.23721e+07	1.16439e+07	6.80004e+06	1.91195e+07	1.09958e+07	1.87046e+07
Q9H2J4	Q9H2J4		PDCL3		7.52084e+06	9.76894e+06	1.01326e+07	1.10009e+07	7.02049e+06	1.07601e+07	7.89213e+06	8.46736e+06
Q9H2K0	Q9H2K0		MTIF3		6.12688e+06	5.55208e+06	5.64017e+06	3.55576e+06	8.02134e+06	4.24253e+06	6.62934e+06	5.20882e+06
Q9H2K8	Q9H2K8		TAOK3		4.04404e+06	2.61303e+06	3.0847e+06	2.52938e+06	4.1492e+06	2.37081e+06	2.92812e+06	2.53325e+06
Q9H2M9	Q9H2M9		RAB3GAP2		1.25066e+07	1.89902e+07	2.20461e+07	3.02139e+07	1.02356e+07	1.88424e+07	1.60449e+07	1.40432e+07
Q9H2P0	Q9H2P0		ADNP		4.90389e+06	6.32591e+06	4.1364e+06	5.38182e+06	4.86482e+06	3.79591e+06	5.48853e+06	4.55277e+06
Q9H2P9	Q9H2P9		DPH5		1.03809e+06	1.35319e+06	1.61129e+06	1.96745e+06	1.15828e+06	1.22628e+06	1.50071e+06	1.33528e+06
Q9H2S1	Q9H2S1		KCNN2		1.7987e+06	1.58557e+06	1.79067e+06	1.52897e+06	2.38599e+06	2.46835e+06	2.10855e+06	2.51598e+06
Q9H2U1	Q9H2U1		DHX36		1.27685e+07	1.33731e+07	1.49861e+07	1.6101e+07	1.36531e+07	1.22274e+07	1.50953e+07	1.29199e+07
Q9H2U2	Q9H2U2		PPA2		1.14448e+08	5.15924e+07	9.02342e+07	3.38738e+07	1.27428e+08	3.70519e+07	1.05118e+08	4.86389e+07
Q9H2V7	Q9H2V7		SPNS1		1.24002e+07	1.17251e+07	1.06837e+07	8.94122e+06	1.45148e+07	1.53775e+07	1.30331e+07	1.53627e+07
Q9H2W6	Q9H2W6		MRPL46		4.03355e+07	2.97093e+07	3.58622e+07	2.02063e+07	5.05684e+07	3.4619e+07	4.55723e+07	3.85973e+07
Q9H2X8	Q9H2X8		IFI27L2		6.58553e+06	5.7012e+06	4.41939e+06	5.16538e+06	8.97916e+06	9.19736e+06	6.82807e+06	7.80474e+06
Q9H300	Q9H300		PARL		2.36767e+07	2.44103e+07	2.88508e+07	2.62005e+07	2.71059e+07	3.29534e+07	3.04539e+07	3.51675e+07
Q9H307	Q9H307		PNN		2.22549e+06	5.72319e+06	3.77864e+06	6.86779e+06	3.15054e+06	3.51437e+06	3.76434e+06	3.51853e+06
Q9H330	Q9H330		TMEM245		4.43961e+06	4.69266e+06	5.47343e+06	5.97129e+06	6.00345e+06	7.02579e+06	5.02962e+06	7.43738e+06
Q9H334	Q9H334		FOXP1		619363	700748	597737	937193	591672	568980	719858	525139
Q9H3C7	Q9H3C7		GGNBP2		2.38285e+06	2.65313e+06	2.50591e+06	2.32594e+06	2.6189e+06	3.11973e+06	2.46622e+06	3.21974e+06
Q9H3E2	Q9H3E2		SNX25		519476	432820	499149	420193	419891	483083	509340	478711
Q9H3F6	Q9H3F6		KCTD10		2.39825e+06	1.59975e+06	2.48558e+06	1.76794e+06	2.57855e+06	2.94676e+06	2.07755e+06	3.02148e+06
Q9H3G5	Q9H3G5		CPVL		4.68747e+07	2.22668e+07	5.01334e+07	2.68242e+07	4.11467e+07	3.64972e+07	5.9993e+07	3.41078e+07
Q9H3H1	Q9H3H1		TRIT1		7.98792e+06	7.35508e+06	8.23322e+06	4.43929e+06	1.18123e+07	6.23734e+06	1.18078e+07	8.81147e+06
Q9H3H3	Q9H3H3		C11orf68		7.20063e+06	1.28918e+07	9.74018e+06	9.0023e+06	1.00291e+07	6.22105e+06	1.41822e+07	9.08413e+06
Q9H3H5	Q9H3H5		DPAGT1		1.16669e+07	1.69672e+07	1.47608e+07	1.63567e+07	1.49746e+07	1.93418e+07	1.60002e+07	1.88206e+07
Q9H3K2	Q9H3K2		GHITM		3.98877e+07	5.8631e+07	5.10419e+07	4.94113e+07	5.69407e+07	7.72885e+07	5.28173e+07	6.8989e+07
Q9H3K6	Q9H3K6		BOLA2		8.47604e+06	1.19661e+07	1.07854e+07	8.9702e+06	9.6174e+06	8.07754e+06	1.26897e+07	9.40828e+06
Q9H3L0	Q9H3L0		MMADHC		3.83665e+07	2.6161e+07	3.13086e+07	1.95567e+07	3.12856e+07	3.02694e+07	2.83878e+07	3.00693e+07
Q9H3M7	Q9H3M7		TXNIP		2.63198e+07	1.15306e+07	1.81058e+07	1.65999e+07	1.30686e+07	2.5546e+06	1.79022e+07	3.80093e+06
Q9H3N1	Q9H3N1		TMX1		1.78055e+08	1.93529e+08	2.14925e+08	2.55655e+08	1.77546e+08	3.48524e+08	2.12057e+08	3.2519e+08
Q9H3P2	Q9H3P2		NELFA		2.85504e+06	4.42585e+06	4.15517e+06	3.96144e+06	3.04875e+06	1.76313e+06	3.90819e+06	2.2276e+06
Q9H3P7	Q9H3P7		ACBD3		3.44147e+06	9.2529e+06	9.18942e+06	1.4461e+07	4.18189e+06	6.43517e+06	6.4165e+06	4.56834e+06
Q9H3Q1	Q9H3Q1		CDC42EP4		1.88603e+07	8.15259e+06	1.18073e+07	7.3672e+06	1.83021e+07	1.07336e+07	1.35671e+07	1.1378e+07
Q9H3R0	Q9H3R0		KDM4C		140455	207276	113180	205046	106408	115344	104780	119579
Q9H3R5	Q9H3R5		CENPH		548664	1.10245e+06	692677	741885	1.13174e+06	604914	876750	574944
Q9H3S5	Q9H3S5		PIGM		2.46471e+06	2.0193e+06	2.28481e+06	2.32462e+06	2.84008e+06	3.29479e+06	2.444e+06	3.72953e+06
Q9H3S7	Q9H3S7		PTPN23		6.76439e+06	1.55389e+07	1.18399e+07	1.31259e+07	7.48991e+06	1.42359e+07	1.2648e+07	1.74006e+07
Q9H3U1	Q9H3U1		UNC45A		1.11054e+07	1.41384e+07	1.50157e+07	1.76243e+07	9.19031e+06	1.63239e+07	1.19119e+07	1.30208e+07
Q9H3U5	Q9H3U5		MFSD1		1.11914e+07	1.3264e+07	9.63209e+06	1.10442e+07	1.75599e+07	1.28534e+07	1.13799e+07	1.33216e+07
Q9H3Y8	Q9H3Y8		PPDPF		8.5874e+06	9.72798e+06	4.89853e+06	3.88863e+06	1.76487e+07	1.18482e+07	7.48582e+06	1.25061e+07
Q9H3Z4	Q9H3Z4		DNAJC5		1.63911e+07	1.52614e+07	1.66617e+07	1.42553e+07	1.51201e+07	2.22571e+07	1.40943e+07	2.16928e+07
Q9H410	Q9H410		DSN1		208785	516378	388115	637955	226079	333443	350092	249902
Q9H425	Q9H425		C1orf198		4.45606e+06	3.86821e+06	4.51675e+06	3.88492e+06	4.03839e+06	4.19436e+06	3.92873e+06	4.19737e+06
Q9H444	Q9H444		CHMP4B		4.31528e+07	9.95733e+07	5.94873e+07	9.09534e+07	4.43672e+07	5.27598e+07	5.09163e+07	6.83627e+07
Q9H446	Q9H446		RWDD1		1.79334e+06	1.49215e+06	2.19204e+06	1.86603e+06	3.1681e+06	2.36664e+06	2.36918e+06	2.34053e+06
Q9H461	Q9H461		FZD8		1.06495e+06	1.9034e+06	1.23296e+06	1.24926e+06	1.92626e+06	935040	1.02319e+06	1.92798e+06
Q9H488	Q9H488		POFUT1		5.10078e+07	3.39753e+07	4.87072e+07	4.32437e+07	6.45824e+07	6.59322e+07	4.32894e+07	5.0979e+07
Q9H490	Q9H490		PIGU		3.57077e+07	4.19307e+07	4.43942e+07	5.22299e+07	4.26425e+07	6.56816e+07	4.38361e+07	6.1546e+07
Q9H492	Q9H492		MAP1LC3A		592288	626510	1.05281e+06	1.68825e+06	504115	735731	763507	549933
Q9H497	Q9H497		TOR3A		5.34799e+06	5.41695e+06	5.13897e+06	5.24566e+06	5.2448e+06	8.73057e+06	6.14394e+06	6.81591e+06
Q9H4A3	Q9H4A3		WNK1		7.06892e+06	1.19838e+07	1.14853e+07	1.30865e+07	8.63575e+06	7.54479e+06	1.05767e+07	6.60027e+06
Q9H4A4	Q9H4A4		RNPEP		8.25648e+06	6.90673e+06	9.09145e+06	6.80177e+06	5.11456e+06	6.3507e+06	8.55849e+06	5.92381e+06
